wavelength_um transit_depth
3.870672389127325363e+00 2.579582212118267451e-02
3.877253218884120667e+00 2.627282963673043328e-02
3.883834048640915970e+00 2.580332913598876524e-02
3.890414878397711718e+00 2.596889115194114805e-02
3.896995708154507021e+00 2.557655834750806323e-02
3.903576537911302324e+00 2.575166784885549176e-02
3.910157367668098072e+00 2.570174356799174650e-02
3.916738197424893375e+00 2.562080438816979541e-02
3.923319027181688678e+00 2.627690419881798661e-02
3.929899856938483982e+00 2.586676758386200967e-02
3.936480686695279729e+00 2.619792037185275993e-02
3.943061516452075033e+00 2.494017927342362384e-02
3.949642346208870336e+00 2.543281076999949833e-02
3.956223175965665639e+00 2.623473399832420075e-02
3.962804005722461387e+00 2.707521688029817380e-02
3.969384835479256690e+00 2.592417407480161404e-02
3.975965665236051994e+00 2.549427635937996997e-02
3.982546494992847741e+00 2.545275450274222737e-02
3.989127324749643044e+00 2.489158358753527575e-02
3.995708154506438348e+00 2.710015256014863469e-02
4.002288984263233651e+00 2.675870099753368050e-02
4.008869814020028954e+00 2.585387122226703860e-02
4.015450643776824258e+00 2.599278800937599582e-02
4.022031473533619561e+00 2.674141749300896695e-02
4.028612303290414864e+00 2.684710714608111448e-02
4.035193133047211056e+00 2.568522572852538141e-02
4.041773962804006359e+00 2.514445727210667947e-02
4.048354792560801663e+00 2.680434128953971401e-02
4.054935622317596966e+00 2.655762362850950034e-02
4.061516452074392269e+00 2.628784552700892674e-02
4.068097281831187573e+00 2.562666807566838650e-02
4.074678111587982876e+00 2.757304338148528974e-02
4.081258941344779068e+00 2.553458600442384471e-02
4.087839771101574371e+00 2.566319528553319754e-02
4.094420600858369674e+00 2.593036907331509877e-02
4.101001430615164978e+00 2.649558607804789606e-02
4.107582260371960281e+00 2.627197439868485598e-02
4.114163090128755584e+00 2.548774454135192130e-02
4.120743919885550888e+00 2.619276013408990827e-02
4.127324749642346191e+00 2.576665917284804916e-02
4.133905579399142383e+00 2.592650045812793999e-02
4.140486409155937686e+00 2.597285607979942651e-02
4.147067238912732989e+00 2.546787641426931023e-02
4.153648068669528293e+00 2.654573049436265500e-02
4.160228898426323596e+00 2.636824923825575526e-02
4.166809728183118899e+00 2.575821852266748160e-02
4.173390557939914203e+00 2.725449658663359892e-02
4.179971387696710394e+00 2.685741167756112643e-02
4.186552217453505698e+00 2.593495733920926985e-02
4.193133047210301001e+00 2.701448554021068302e-02
4.199713876967096304e+00 2.651656159548231029e-02
4.206294706723891608e+00 2.712081171096396293e-02
4.212875536480686911e+00 2.894707617161428395e-02
4.219456366237482214e+00 2.935687804728190006e-02
4.226037195994278406e+00 2.623715677302083243e-02
4.232618025751073709e+00 2.734955788365848323e-02
4.239198855507869013e+00 2.689077963553028125e-02
4.245779685264664316e+00 2.865974713184922182e-02
4.252360515021459619e+00 3.001802615519844064e-02
4.258941344778254923e+00 2.670134998403937004e-02
4.265522174535050226e+00 2.817052912544170187e-02
4.272103004291845529e+00 2.785625910644720649e-02
4.278683834048641721e+00 2.964426060924758508e-02
4.285264663805437024e+00 2.771946213350176547e-02
4.291845493562232328e+00 2.890338801079178621e-02
4.298426323319027631e+00 2.814131123071658344e-02
4.305007153075822934e+00 2.927690779713624722e-02
4.311587982832618238e+00 2.748398159423062065e-02
4.318168812589413541e+00 2.860736006347175051e-02
4.324749642346209733e+00 2.952572584885509305e-02
4.331330472103005036e+00 2.825420535512049303e-02
4.337911301859800339e+00 2.884836584578107446e-02
4.344492131616595643e+00 2.913569106568308573e-02
4.351072961373390946e+00 2.774850512545356390e-02
4.357653791130186249e+00 2.893102214111033937e-02
4.364234620886981553e+00 3.034790988898283803e-02
4.370815450643776856e+00 2.935439367579839934e-02
4.377396280400573048e+00 3.048318084897204752e-02
4.383977110157368351e+00 3.099021227805279222e-02
4.390557939914163654e+00 3.103939947241507458e-02
4.397138769670958958e+00 2.815131912732540820e-02
4.403719599427754261e+00 2.813462199852434856e-02
4.410300429184549564e+00 2.808251162577452692e-02
4.416881258941344868e+00 3.018885341375654452e-02
